"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"24.02.2025","137,4","137,6","137,9","135,7","14,40M","0,16%"
"21.02.2025","137,2","138,0","140,3","135,1","27,91M","-0,41%"
"20.02.2025","137,7","139,1","139,7","136,0","25,64M","-0,56%"
"19.02.2025","138,5","134,8","139,0","132,7","28,70M","2,91%"
"18.02.2025","134,6","138,6","138,8","133,2","36,45M","-2,60%"
"17.02.2025","138,2","134,0","139,0","132,6","57,22M","5,10%"
"14.02.2025","131,5","129,0","134,0","125,0","71,28M","2,65%"
"13.02.2025","128,1","127,3","129,9","123,5","49,13M","0,66%"
"12.02.2025","127,3","121,2","128,0","119,2","61,40M","5,07%"
"11.02.2025","121,1","120,6","122,1","119,6","36,31M","0,25%"
"10.02.2025","120,8","122,3","127,0","119,0","99,95M","-1,19%"
"07.02.2025","122,3","121,9","123,6","120,5","21,76M","0,64%"
"06.02.2025","121,5","120,8","123,0","120,1","21,60M","0,91%"
"05.02.2025","120,4","117,1","121,0","116,0","23,75M","2,77%"
"04.02.2025","117,2","118,3","120,0","116,5","17,71M","-0,96%"
"03.02.2025","118,3","121,0","121,0","117,0","24,79M","-2,38%"
"31.01.2025","121,2","122,7","124,6","119,5","24,65M","-1,29%"
"30.01.2025","122,8","121,8","123,2","121,6","13,35M","0,80%"
"29.01.2025","121,8","121,2","123,0","120,8","14,89M","0,48%"
"28.01.2025","121,2","119,3","121,9","117,1","30,18M","1,46%"
"27.01.2025","119,5","124,7","125,0","118,7","23,33M","-3,77%"
"24.01.2025","124,1","125,2","128,0","123,0","29,75M","-0,66%"
"23.01.2025","125,0","123,7","125,0","121,6","14,83M","0,99%"
"22.01.2025","123,7","125,0","127,3","121,9","24,58M","-0,66%"
"21.01.2025","124,6","124,4","124,7","121,3","20,09M","0,94%"
"20.01.2025","123,4","126,4","128,9","123,2","40,31M","-1,19%"
"17.01.2025","124,9","119,4","125,0","118,7","36,14M","4,84%"
"16.01.2025","119,1","119,8","120,8","118,4","20,48M","-0,28%"
"15.01.2025","119,5","120,0","121,2","117,2","26,29M","-0,43%"
"14.01.2025","120,0","118,4","120,8","117,4","24,65M","1,35%"
"13.01.2025","118,4","116,9","120,2","116,8","39,08M","1,82%"
"10.01.2025","116,3","111,9","116,5","111,0","30,02M","3,99%"
"09.01.2025","111,8","114,0","114,8","111,0","18,70M","-1,93%"
"08.01.2025","114,0","113,6","114,3","112,8","6,83M","0,51%"
"06.01.2025","113,4","112,4","113,8","110,7","9,58M","0,66%"
"03.01.2025","112,7","115,7","115,8","111,8","10,31M","-2,44%"
"30.12.2024","115,5","114,5","115,8","114,4","16,45M","1,49%"
"28.12.2024","113,8","111,5","114,4","111,1","24,51M","2,49%"
"27.12.2024","111,0","109,9","111,7","109,3","21,21M","1,26%"
"26.12.2024","109,7","108,5","111,1","106,5","48,21M","1,54%"
"25.12.2024","108,0","104,7","108,7","103,5","42,67M","2,90%"
"24.12.2024","105,0","105,0","106,9","103,8","37,29M","0,00%"
"23.12.2024","105,0","107,0","108,4","104,0","53,05M","-0,08%"
"20.12.2024","105,1","95,7","106,0","95,7","53,27M","9,80%"
"19.12.2024","95,7","95,9","99,2","95,0","45,55M","0,00%"
"18.12.2024","95,7","95,4","95,9","93,0","25,84M","0,72%"
"17.12.2024","95,0","96,0","96,7","94,8","22,76M","-0,96%"
"16.12.2024","95,9","98,2","99,1","95,3","32,09M","-4,00%"
"13.12.2024","99,9","100,3","102,2","99,7","20,06M","-0,40%"
"12.12.2024","100,3","104,4","104,5","100,1","23,82M","-3,65%"
"11.12.2024","104,1","103,6","104,8","101,5","23,60M","0,48%"
"10.12.2024","103,6","106,9","106,9","103,5","23,48M","-3,05%"
"09.12.2024","106,9","108,5","109,0","106,4","21,16M","-0,87%"
"06.12.2024","107,8","108,2","109,8","106,7","24,49M","-0,33%"
"05.12.2024","108,2","104,6","108,7","102,8","33,51M","3,80%"
"04.12.2024","104,2","110,9","110,9","104,1","30,71M","-5,62%"
"03.12.2024","110,4","114,0","114,3","109,3","22,92M","-3,24%"
"02.12.2024","114,1","113,2","114,9","112,7","17,19M","1,01%"
"29.11.2024","113,0","110,6","114,0","109,7","23,19M","2,62%"
"28.11.2024","110,1","111,4","112,2","108,1","33,23M","-0,79%"
"27.11.2024","111,0","104,4","111,4","102,7","45,82M","6,61%"
"26.11.2024","104,1","103,6","106,5","101,9","26,90M","0,13%"
"25.11.2024","103,9","108,5","108,8","103,1","22,36M","-4,22%"
"22.11.2024","108,5","109,5","110,0","106,8","24,63M","-0,73%"
"21.11.2024","109,3","108,3","109,8","106,6","29,96M","0,96%"
"20.11.2024","108,3","111,2","112,0","106,0","29,18M","-2,45%"
"19.11.2024","111,0","114,6","116,1","109,5","39,99M","-3,02%"
"18.11.2024","114,5","112,2","115,8","111,7","35,03M","-0,61%"
"15.11.2024","115,2","111,5","115,5","111,3","19,91M","3,12%"
"14.11.2024","111,7","113,0","114,6","110,6","22,58M","-1,15%"
"13.11.2024","113,0","113,2","115,8","112,7","38,61M","-0,46%"
"12.11.2024","113,5","112,4","114,8","111,1","27,30M","0,76%"
"11.11.2024","112,6","112,4","113,3","110,6","28,60M","0,95%"
"08.11.2024","111,6","109,0","112,4","108,1","41,61M","1,97%"
"07.11.2024","109,4","105,8","110,5","104,7","38,57M","3,32%"
"06.11.2024","105,9","105,5","108,5","105,1","36,58M","1,63%"
"05.11.2024","104,2","100,8","105,0","100,3","21,13M","3,37%"
"02.11.2024","100,8","99,0","100,9","98,3","7,06M","1,65%"
"01.11.2024","99,2","99,4","100,0","97,2","18,71M","0,16%"
"31.10.2024","99,0","97,1","99,5","96,8","20,64M","1,50%"
"30.10.2024","97,5","100,0","100,4","97,0","19,60M","-2,21%"
"29.10.2024","99,7","96,1","100,7","95,1","28,83M","3,79%"
"28.10.2024","96,1","100,5","101,6","94,2","46,07M","-5,17%"
"25.10.2024","101,3","105,2","106,3","100,5","28,89M","-3,60%"
"24.10.2024","105,1","104,1","105,7","103,3","16,36M","0,92%"
