"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"24.02.2025","4,66","4,66","4,74","4,59","5,69M","0,65%"
"21.02.2025","4,63","4,57","4,80","4,55","7,10M","1,76%"
"20.02.2025","4,55","4,55","4,63","4,53","5,52M","0,55%"
"19.02.2025","4,52","4,57","4,63","4,40","7,01M","-0,88%"
"18.02.2025","4,56","4,59","4,80","4,51","17,59M","-0,87%"
"17.02.2025","4,60","4,42","4,65","4,41","19,78M","6,48%"
"14.02.2025","4,32","4,29","4,57","4,24","36,04M","2,37%"
"13.02.2025","4,22","4,29","4,34","4,18","6,67M","1,20%"
"12.02.2025","4,17","4,24","4,30","4,15","5,37M","-1,30%"
"11.02.2025","4,22","4,27","4,30","4,18","3,54M","-1,05%"
"10.02.2025","4,27","4,30","4,34","4,24","3,04M","0,47%"
"07.02.2025","4,25","4,28","4,45","4,20","13,16M","-0,23%"
"06.02.2025","4,26","4,28","4,38","4,20","11,32M","1,55%"
"05.02.2025","4,20","4,28","4,29","4,11","4,71M","-1,53%"
"04.02.2025","4,26","4,24","4,35","4,22","6,04M","1,31%"
"03.02.2025","4,20","4,23","4,39","4,20","7,00M","-1,75%"
"31.01.2025","4,28","4,16","4,38","4,16","13,94M","3,51%"
"30.01.2025","4,14","4,11","4,20","4,11","1,89M","0,49%"
"29.01.2025","4,11","4,15","4,28","4,07","6,48M","-0,36%"
"28.01.2025","4,13","4,11","4,20","4,04","3,01M","0,24%"
"27.01.2025","4,12","4,25","4,25","4,11","3,07M","-2,60%"
"24.01.2025","4,23","4,22","4,30","4,20","4,79M","0,83%"
"23.01.2025","4,20","4,36","4,47","4,15","14,29M","-3,78%"
"22.01.2025","4,36","4,00","4,36","3,98","57,43M","9,82%"
"21.01.2025","3,97","3,95","4,00","3,91","1,88M","-0,25%"
"20.01.2025","3,98","4,06","4,10","3,92","4,46M","-2,21%"
"17.01.2025","4,07","4,06","4,13","4,01","4,83M","0,25%"
"16.01.2025","4,06","3,96","4,14","3,93","7,06M","3,70%"
"15.01.2025","3,91","4,03","4,05","3,80","8,58M","-2,85%"
"14.01.2025","4,03","4,05","4,07","3,96","4,51M","-0,37%"
"13.01.2025","4,05","4,13","4,22","4,00","6,54M","-2,06%"
"10.01.2025","4,13","3,97","4,24","3,96","16,67M","4,82%"
"09.01.2025","3,94","4,22","4,22","3,83","14,75M","-5,74%"
"08.01.2025","4,18","4,49","4,55","4,17","44,22M","0,72%"
"06.01.2025","4,15","3,45","4,15","3,45","47,79M","21,52%"
"03.01.2025","3,41","3,42","3,63","3,30","9,23M","-0,15%"
"30.12.2024","3,42","3,20","3,45","3,18","9,32M","7,55%"
"28.12.2024","3,18","3,19","3,21","3,14","2,13M","0,00%"
"27.12.2024","3,18","3,23","3,23","3,15","1,97M","-0,93%"
"26.12.2024","3,21","3,22","3,29","3,20","2,66M","0,63%"
"25.12.2024","3,19","3,20","3,25","3,18","1,90M","0,00%"
"24.12.2024","3,19","3,29","3,30","3,17","2,69M","-3,48%"
"23.12.2024","3,31","3,30","3,35","3,28","4,43M","0,30%"
"20.12.2024","3,30","3,16","3,34","3,15","4,62M","5,27%"
"19.12.2024","3,13","3,07","3,27","3,07","3,70M","2,29%"
"18.12.2024","3,06","3,03","3,07","2,99","929,40K","2,17%"
"17.12.2024","2,99","3,02","3,14","2,98","1,80M","-0,99%"
"16.12.2024","3,03","3,12","3,13","3,01","1,59M","-3,20%"
"13.12.2024","3,13","3,12","3,14","3,07","1,48M","-0,95%"
"12.12.2024","3,15","3,18","3,22","3,14","1,91M","-1,10%"
"11.12.2024","3,19","3,20","3,28","3,15","1,83M","-2,00%"
"10.12.2024","3,26","3,26","3,34","3,21","2,37M","-2,25%"
"09.12.2024","3,33","3,17","3,49","3,12","6,40M","5,38%"
"06.12.2024","3,16","3,17","3,16","3,11","1,88M","1,28%"
"05.12.2024","3,12","3,06","3,14","3,04","1,20M","1,46%"
"04.12.2024","3,08","3,11","3,12","3,05","910,30K","-0,32%"
"03.12.2024","3,09","3,14","3,14","3,07","1,04M","-1,75%"
"02.12.2024","3,14","3,13","3,19","3,13","1,80M","0,64%"
"29.11.2024","3,12","3,12","3,14","3,08","1,46M","2,30%"
"28.11.2024","3,05","3,01","3,20","3,01","2,65M","1,67%"
"27.11.2024","3,00","3,12","3,12","2,87","8,96M","-3,69%"
"26.11.2024","3,12","3,31","3,57","3,02","7,98M","-5,03%"
"25.11.2024","3,28","3,40","3,40","3,24","3,17M","-3,67%"
"22.11.2024","3,40","3,53","3,54","3,40","1,25M","-0,87%"
"21.11.2024","3,43","3,51","3,58","3,33","2,81M","-1,15%"
"20.11.2024","3,47","3,52","3,69","3,47","3,78M","-0,86%"
"19.11.2024","3,51","3,61","3,61","3,49","1,35M","-2,91%"
"18.11.2024","3,61","3,65","3,65","3,57","1,81M","-1,50%"
"15.11.2024","3,66","3,70","3,72","3,62","1,63M","-0,81%"
"14.11.2024","3,69","3,68","3,80","3,68","1,40M","-0,81%"
"13.11.2024","3,72","3,66","3,74","3,63","1,02M","1,92%"
"12.11.2024","3,65","3,73","3,77","3,65","1,27M","-2,01%"
"11.11.2024","3,73","3,70","3,77","3,67","2,00M","1,91%"
"08.11.2024","3,66","3,59","3,69","3,58","1,94M","3,24%"
"07.11.2024","3,55","3,57","3,57","3,46","623,60K","0,57%"
"06.11.2024","3,53","3,59","3,60","3,48","1,54M","0,71%"
"05.11.2024","3,50","3,46","3,53","3,45","1,39M","0,86%"
"02.11.2024","3,47","3,43","3,49","3,41","931,60K","1,61%"
"01.11.2024","3,41","3,44","3,46","3,34","2,81M","-0,58%"
"31.10.2024","3,43","3,45","3,47","3,40","1,68M","-0,72%"
"30.10.2024","3,46","3,53","3,60","3,34","4,03M","-1,84%"
"29.10.2024","3,53","3,47","3,57","3,43","2,30M","1,88%"
"28.10.2024","3,46","3,61","3,67","3,44","3,09M","-4,16%"
"25.10.2024","3,61","3,76","3,77","3,56","2,99M","-3,86%"
"24.10.2024","3,76","3,73","3,78","3,70","1,10M","-0,53%"
"23.10.2024","3,78","3,83","3,83","3,70","1,93M","-1,18%"
"22.10.2024","3,82","3,89","3,89","3,80","2,36M","-1,80%"
"21.10.2024","3,89","3,90","3,92","3,87","1,38M","0,00%"
