"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"24.02.2025","7.703,5","7.710,0","7.744,5","7.650,0","421,93K","-0,08%"
"21.02.2025","7.709,5","7.721,0","7.790,0","7.636,5","648,01K","-0,14%"
"20.02.2025","7.720,0","7.737,0","7.780,0","7.684,5","439,56K","0,07%"
"19.02.2025","7.714,5","7.647,0","7.760,0","7.590,0","594,66K","0,92%"
"18.02.2025","7.644,5","7.799,5","7.835,0","7.589,0","1,06M","-1,80%"
"17.02.2025","7.784,5","7.575,0","7.819,0","7.550,0","1,04M","3,90%"
"14.02.2025","7.492,5","7.444,5","7.734,0","7.285,0","1,54M","-0,55%"
"13.02.2025","7.534,0","7.680,0","7.981,5","7.390,0","2,63M","-1,85%"
"12.02.2025","7.676,0","7.275,0","7.685,0","7.217,0","1,53M","5,57%"
"11.02.2025","7.271,0","7.147,5","7.289,5","7.147,5","610,10K","1,73%"
"10.02.2025","7.147,5","7.175,0","7.230,0","7.130,0","572,66K","-0,01%"
"07.02.2025","7.148,0","7.150,0","7.180,0","7.120,0","326,12K","0,10%"
"06.02.2025","7.141,0","7.181,0","7.215,0","7.140,0","560,98K","-0,42%"
"05.02.2025","7.171,0","7.080,5","7.184,5","7.080,5","370,36K","1,09%"
"04.02.2025","7.093,5","7.170,0","7.187,5","7.066,0","421,02K","-1,07%"
"03.02.2025","7.170,0","7.160,0","7.206,0","7.104,5","429,28K","-0,01%"
"31.01.2025","7.171,0","7.161,0","7.202,0","7.141,0","541,52K","0,07%"
"30.01.2025","7.166,0","7.185,0","7.214,5","7.152,5","384,31K","-0,36%"
"29.01.2025","7.192,0","7.157,0","7.236,5","7.117,5","546,98K","0,45%"
"28.01.2025","7.160,0","7.065,5","7.176,0","7.040,0","459,80K","1,34%"
"27.01.2025","7.065,5","7.199,0","7.199,0","7.013,0","503,14K","-1,86%"
"24.01.2025","7.199,5","7.216,0","7.226,0","7.160,0","347,31K","-0,21%"
"23.01.2025","7.215,0","7.220,0","7.220,0","7.140,0","457,33K","0,00%"
"22.01.2025","7.215,0","7.243,5","7.287,5","7.206,0","538,64K","-0,34%"
"21.01.2025","7.239,5","7.240,5","7.243,0","7.141,0","410,71K","0,63%"
"20.01.2025","7.194,0","7.376,0","7.400,0","7.165,0","872,44K","-2,02%"
"17.01.2025","7.342,0","7.204,0","7.345,0","7.190,0","644,15K","1,86%"
"16.01.2025","7.208,0","7.190,0","7.255,0","7.170,5","563,48K","0,41%"
"15.01.2025","7.178,5","7.125,0","7.180,0","7.070,0","618,06K","0,89%"
"14.01.2025","7.115,5","7.010,5","7.129,5","6.980,0","631,57K","1,50%"
"13.01.2025","7.010,5","7.110,0","7.110,0","6.979,5","700,87K","-0,17%"
"10.01.2025","7.022,5","6.972,5","7.146,0","6.901,5","1,70M","1,08%"
"09.01.2025","6.947,5","7.100,0","7.117,5","6.933,0","542,29K","-2,00%"
"08.01.2025","7.089,0","7.090,0","7.124,0","7.045,0","245,01K","0,01%"
"06.01.2025","7.088,0","7.114,5","7.160,0","7.070,0","221,71K","-0,48%"
"03.01.2025","7.122,0","7.255,0","7.260,0","7.101,0","262,10K","-1,56%"
"30.12.2024","7.235,0","7.011,0","7.260,0","7.003,0","774,89K","3,39%"
"28.12.2024","6.998,0","6.990,5","7.012,0","6.955,5","454,15K","0,11%"
"27.12.2024","6.990,5","7.019,0","7.038,0","6.921,5","572,20K","-0,18%"
"26.12.2024","7.003,0","6.988,0","7.096,5","6.988,0","883,16K","0,22%"
"25.12.2024","6.987,5","6.830,0","7.006,5","6.787,5","1,05M","2,26%"
"24.12.2024","6.833,0","6.919,0","6.960,5","6.825,0","724,13K","-1,24%"
"23.12.2024","6.919,0","6.787,0","6.980,0","6.761,0","1,04M","2,88%"
"20.12.2024","6.725,0","6.294,0","6.804,0","6.280,0","2,16M","6,85%"
"19.12.2024","6.294,0","6.379,5","6.492,0","6.263,0","1,86M","-1,27%"
"18.12.2024","6.375,0","6.297,0","6.395,0","6.238,0","729,99K","1,34%"
"17.12.2024","6.290,5","6.330,0","6.398,0","6.256,0","1,47M","-7,21%"
"16.12.2024","6.779,5","6.770,0","6.787,5","6.685,5","1,12M","-0,30%"
"13.12.2024","6.800,0","6.868,5","6.884,5","6.750,0","652,62K","-0,91%"
"12.12.2024","6.862,5","6.898,0","6.959,5","6.862,0","686,97K","-0,48%"
