"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"24.02.2025","5.330,0","5.346,0","5.414,5","5.311,5","413,14K","-0,19%"
"21.02.2025","5.340,0","5.324,5","5.404,0","5.255,0","462,79K","0,29%"
"20.02.2025","5.324,5","5.184,5","5.430,0","5.180,0","1,00M","2,49%"
"19.02.2025","5.195,0","5.146,0","5.215,0","5.061,5","512,76K","1,37%"
"18.02.2025","5.125,0","5.200,0","5.216,0","5.054,5","681,48K","-1,42%"
"17.02.2025","5.199,0","4.995,0","5.208,0","4.992,0","1,04M","5,29%"
"14.02.2025","4.938,0","5.055,5","5.156,0","4.900,0","1,05M","-2,32%"
"13.02.2025","5.055,5","5.060,0","5.249,5","4.960,0","1,34M","0,53%"
"12.02.2025","5.029,0","4.888,0","5.075,0","4.833,0","1,31M","2,59%"
"11.02.2025","4.902,0","4.705,5","4.925,0","4.705,0","1,10M","4,18%"
"10.02.2025","4.705,5","4.689,0","4.795,0","4.680,0","594,08K","0,93%"
"07.02.2025","4.662,0","4.699,0","4.735,0","4.631,5","330,90K","-0,40%"
"06.02.2025","4.680,5","4.681,0","4.719,0","4.655,0","298,64K","0,05%"
"05.02.2025","4.678,0","4.591,0","4.714,0","4.526,0","479,02K","1,90%"
"04.02.2025","4.591,0","4.625,0","4.665,0","4.571,0","227,02K","-0,75%"
"03.02.2025","4.625,5","4.665,0","4.723,0","4.590,0","402,57K","-0,86%"
"31.01.2025","4.665,5","4.727,5","4.778,0","4.654,0","484,62K","-0,94%"
"30.01.2025","4.710,0","4.675,0","4.738,0","4.633,0","389,18K","0,76%"
"29.01.2025","4.674,5","4.671,0","4.753,0","4.650,0","469,53K","0,07%"
"28.01.2025","4.671,0","4.576,0","4.700,0","4.540,5","494,46K","1,93%"
"27.01.2025","4.582,5","4.668,0","4.685,0","4.558,0","392,83K","-1,76%"
"24.01.2025","4.664,5","4.712,0","4.741,0","4.662,0","373,23K","-0,97%"
"23.01.2025","4.710,0","4.694,0","4.718,0","4.653,0","330,46K","0,33%"
"22.01.2025","4.694,5","4.719,0","4.737,0","4.669,5","469,20K","-0,29%"
"21.01.2025","4.708,0","4.664,5","4.744,0","4.620,0","600,71K","1,40%"
"20.01.2025","4.643,0","4.785,0","4.790,0","4.635,0","853,40K","-2,08%"
"17.01.2025","4.741,5","4.728,0","4.789,0","4.662,5","816,35K","0,53%"
"16.01.2025","4.716,5","4.792,0","4.792,0","4.681,0","761,95K","-0,80%"
"15.01.2025","4.754,5","4.710,0","4.769,0","4.633,0","554,34K","0,77%"
"14.01.2025","4.718,0","4.664,0","4.748,0","4.611,0","771,34K","1,24%"
"13.01.2025","4.660,0","4.995,0","4.995,0","4.620,5","1,41M","-4,56%"
"10.01.2025","4.882,5","4.840,0","4.954,0","4.780,0","734,22K","0,96%"
"09.01.2025","4.836,0","4.757,0","4.938,5","4.705,0","1,20M","1,01%"
"08.01.2025","4.787,5","4.909,0","4.919,0","4.759,0","848,58K","-3,14%"
"06.01.2025","4.942,5","4.990,0","5.014,5","4.930,0","280,89K","-1,48%"
"03.01.2025","5.016,5","5.090,0","5.092,0","4.917,0","451,43K","-1,48%"
"30.12.2024","5.092,0","5.025,0","5.167,0","5.016,0","901,31K","1,66%"
"28.12.2024","5.009,0","5.221,0","5.348,0","4.863,0","3,74M","-3,86%"
"27.12.2024","5.210,0","5.195,0","5.220,0","5.151,0","329,66K","0,70%"
"26.12.2024","5.174,0","5.040,0","5.216,5","5.031,0","797,66K","2,91%"
"25.12.2024","5.027,5","4.950,0","5.038,0","4.940,0","481,19K","1,66%"
"24.12.2024","4.945,5","4.984,5","4.984,5","4.870,0","504,40K","-0,77%"
"23.12.2024","4.984,0","4.991,5","5.081,0","4.926,0","753,38K","1,27%"
"20.12.2024","4.921,5","4.398,0","4.923,0","4.376,0","1,08M","11,46%"
"19.12.2024","4.415,5","4.452,0","4.521,5","4.407,0","451,74K","-0,38%"
"18.12.2024","4.432,5","4.350,0","4.466,5","4.301,0","398,91K","2,13%"
"17.12.2024","4.340,0","4.308,5","4.388,0","4.255,5","306,67K","0,73%"
"16.12.2024","4.308,5","4.400,5","4.407,5","4.300,0","283,43K","-2,32%"
"13.12.2024","4.411,0","4.437,0","4.468,0","4.405,0","196,01K","-0,72%"
"12.12.2024","4.443,0","4.533,0","4.564,0","4.435,0","227,00K","-1,90%"
"11.12.2024","4.529,0","4.500,0","4.538,0","4.454,0","224,01K","0,17%"
"10.12.2024","4.521,5","4.610,0","4.619,5","4.503,0","219,16K","-1,65%"
"09.12.2024","4.597,5","4.623,0","4.634,5","4.570,0","226,69K","0,47%"
"06.12.2024","4.576,0","4.499,5","4.589,5","4.468,0","325,97K","2,19%"
"05.12.2024","4.478,0","4.455,0","4.523,0","4.377,5","532,90K","0,72%"
"04.12.2024","4.446,0","4.560,0","4.590,0","4.433,5","453,06K","-2,49%"
"03.12.2024","4.559,5","4.638,0","4.674,0","4.497,0","645,61K","-1,50%"
"02.12.2024","4.629,0","4.555,0","4.694,0","4.540,5","718,75K","2,20%"
"29.11.2024","4.529,5","4.245,5","4.550,0","4.221,5","1,54M","6,24%"
"28.11.2024","4.263,5","4.244,0","4.324,5","4.130,5","481,82K","1,20%"
"27.11.2024","4.213,0","4.170,0","4.238,5","4.008,0","631,26K","1,52%"
"26.11.2024","4.150,0","4.310,5","4.385,0","4.062,0","708,86K","-4,16%"
"25.11.2024","4.330,0","4.495,0","4.525,0","4.314,5","337,59K","-3,65%"
"22.11.2024","4.494,0","4.608,0","4.619,5","4.430,0","532,62K","-1,93%"
"21.11.2024","4.582,5","4.460,5","4.592,5","4.297,0","909,99K","3,58%"
"20.11.2024","4.424,0","4.496,0","4.569,0","4.401,0","278,97K","-1,50%"
"19.11.2024","4.491,5","4.684,0","4.697,0","4.472,0","259,71K","-4,13%"
"18.11.2024","4.685,0","4.720,0","4.770,0","4.684,5","156,00K","-2,85%"
"15.11.2024","4.822,5","4.789,5","4.847,5","4.713,5","157,87K","0,69%"
"14.11.2024","4.789,5","4.821,5","4.884,5","4.742,0","149,60K","-1,04%"
"13.11.2024","4.840,0","4.800,0","4.910,0","4.788,0","186,04K","0,78%"
"12.11.2024","4.802,5","4.910,0","4.923,0","4.792,0","207,56K","-2,33%"
"11.11.2024","4.917,0","4.899,0","4.924,0","4.835,0","251,44K","1,25%"
"08.11.2024","4.856,5","4.815,0","4.860,0","4.737,5","319,22K","1,67%"
"07.11.2024","4.776,5","4.625,5","4.781,0","4.567,0","275,10K","3,26%"
"06.11.2024","4.625,5","4.565,5","4.700,0","4.563,0","393,66K","2,12%"
"05.11.2024","4.529,5","4.552,0","4.563,5","4.454,0","150,93K","0,21%"
"02.11.2024","4.520,0","4.547,0","4.579,0","4.501,5","109,23K","-0,21%"
"01.11.2024","4.529,5","4.488,5","4.561,5","4.473,5","392,86K","0,97%"
"31.10.2024","4.486,0","4.412,0","4.497,0","4.338,0","419,59K","1,77%"
"30.10.2024","4.408,0","4.436,0","4.569,0","4.390,0","345,33K","0,09%"
"29.10.2024","4.404,0","4.381,0","4.449,5","4.325,0","313,13K","0,64%"
"28.10.2024","4.376,0","4.480,0","4.480,0","4.267,0","572,65K","-2,85%"
"25.10.2024","4.504,5","4.693,5","4.748,5","4.470,0","543,63K","-3,62%"
"24.10.2024","4.673,5","4.729,5","4.753,5","4.630,0","288,30K","-1,19%"
"23.10.2024","4.730,0","4.792,0","4.819,0","4.730,0","179,61K","-1,74%"
"22.10.2024","4.814,0","4.811,5","4.875,5","4.773,0","240,40K","-0,08%"
"21.10.2024","4.818,0","4.867,0","4.885,0","4.809,0","177,31K","-0,88%"
"18.10.2024","4.861,0","4.895,0","4.900,0","4.835,5","145,78K","-0,44%"
"17.10.2024","4.882,5","4.970,0","4.991,5","4.855,0","181,49K","-1,76%"
"16.10.2024","4.970,0","5.010,0","5.035,0","4.943,0","269,01K","-0,74%"
"15.10.2024","5.007,0","4.916,0","5.010,0","4.893,5","316,15K","1,70%"
"14.10.2024","4.923,5","4.902,0","4.945,0","4.813,5","369,67K","0,44%"
"11.10.2024","4.902,0","4.957,5","4.974,5","4.901,0","204,43K","-1,33%"
"10.10.2024","4.968,0","4.900,0","4.995,5","4.881,0","290,95K","1,61%"
"09.10.2024","4.889,5","4.930,0","4.974,5","4.870,0","355,42K","-0,82%"
"08.10.2024","4.930,0","5.056,0","5.070,0","4.915,5","475,79K","-2,75%"
"07.10.2024","5.069,5","5.090,0","5.122,5","5.045,0","233,62K","-0,13%"
"04.10.2024","5.076,0","5.122,0","5.134,0","5.025,0","339,62K","-0,46%"
"03.10.2024","5.099,5","5.035,5","5.129,5","5.006,0","847,71K","0,86%"
"02.10.2024","5.056,0","5.234,0","5.270,0","4.991,0","1,84M","-3,59%"
"01.10.2024","5.244,0","5.666,0","5.893,0","5.232,0","3,37M","-7,46%"
"30.09.2024","5.667,0","5.775,0","5.828,5","5.637,0","398,85K","-1,60%"
"27.09.2024","5.759,0","5.785,0","5.837,0","5.716,5","232,40K","-0,53%"
"26.09.2024","5.789,5","5.725,0","5.810,0","5.660,5","513,49K","0,45%"
"25.09.2024","5.763,5","5.835,0","6.021,0","5.723,0","756,14K","-1,44%"
"24.09.2024","5.848,0","5.880,0","5.902,0","5.775,5","550,50K","-0,45%"
"23.09.2024","5.874,5","5.916,5","5.944,5","5.833,0","872,56K","-0,76%"
"20.09.2024","5.919,5","5.605,0","5.959,5","5.605,0","1,13M","5,61%"
"19.09.2024","5.605,0","5.584,5","5.646,0","5.485,0","819,93K","0,13%"
"18.09.2024","5.597,5","5.757,0","5.757,0","5.585,0","1,61M","-1,70%"
"17.09.2024","5.694,5","5.353,0","5.694,5","5.340,0","2,66M","6,25%"
"16.09.2024","5.359,5","5.020,0","5.373,5","5.002,5","673,00K","7,23%"
"13.09.2024","4.998,0","4.735,0","5.018,0","4.661,0","789,80K","5,77%"
"12.09.2024","4.725,5","4.790,0","4.843,0","4.670,0","301,45K","-1,42%"
"11.09.2024","4.793,5","4.883,0","4.953,5","4.751,5","296,49K","-1,83%"
"10.09.2024","4.883,0","4.933,5","5.035,0","4.832,5","412,63K","-0,55%"
"09.09.2024","4.910,0","4.766,0","4.919,0","4.757,0","228,76K","3,24%"
"06.09.2024","4.756,0","4.712,5","4.799,5","4.643,0","179,31K","0,92%"
"05.09.2024","4.712,5","4.730,0","4.855,5","4.668,0","301,91K","0,27%"
"04.09.2024","4.700,0","4.610,0","4.715,5","4.565,5","281,22K","1,95%"
"03.09.2024","4.610,0","4.600,0","4.683,5","4.536,0","374,18K","0,52%"
"02.09.2024","4.586,0","4.652,0","4.684,0","4.522,0","522,30K","-2,84%"
"30.08.2024","4.720,0","5.050,0","5.050,0","4.676,0","579,41K","-5,58%"
"29.08.2024","4.999,0","4.936,5","5.088,5","4.815,0","466,70K","1,42%"
"28.08.2024","4.929,0","5.000,0","5.001,0","4.867,5","243,36K","-1,38%"
"27.08.2024","4.998,0","5.158,0","5.205,0","4.986,5","228,70K","-2,72%"
"26.08.2024","5.138,0","5.073,0","5.150,0","4.986,5","295,52K","3,83%"
"23.08.2024","4.948,5","5.088,5","5.088,5","4.902,0","424,37K","-2,62%"
"22.08.2024","5.081,5","5.212,0","5.243,0","4.980,0","343,20K","-2,47%"
"21.08.2024","5.210,0","5.244,0","5.283,5","5.164,5","208,83K","-0,65%"
"20.08.2024","5.244,0","5.266,0","5.313,0","5.180,0","243,84K","0,02%"
"19.08.2024","5.243,0","5.392,0","5.435,0","5.182,5","331,07K","-2,38%"
"16.08.2024","5.371,0","5.480,0","5.519,5","5.358,0","121,49K","-1,99%"
"15.08.2024","5.480,0","5.480,0","5.594,0","5.460,0","96,63K","-1,40%"
"14.08.2024","5.558,0","5.636,0","5.700,0","5.513,0","159,21K","-1,29%"
"13.08.2024","5.630,5","5.532,0","5.631,5","5.526,0","144,93K","2,18%"
"12.08.2024","5.510,5","5.498,0","5.526,5","5.470,0","76,20K","0,18%"
"09.08.2024","5.500,5","5.460,0","5.562,0","5.424,0","112,69K","0,74%"
"08.08.2024","5.460,0","5.590,0","5.639,0","5.446,5","132,01K","-1,90%"
"07.08.2024","5.565,5","5.492,0","5.619,5","5.428,0","182,72K","1,52%"
"06.08.2024","5.482,0","5.525,5","5.580,0","5.450,5","160,50K","-0,39%"
"05.08.2024","5.503,5","5.590,0","5.588,0","5.455,5","232,05K","-2,40%"
"02.08.2024","5.639,0","5.590,0","5.716,0","5.632,5","154,85K","-0,91%"
"01.08.2024","5.690,5","5.755,0","5.780,0","5.670,5","135,03K","-1,04%"
"31.07.2024","5.750,5","5.797,0","5.830,5","5.731,5","166,18K","-0,81%"
"30.07.2024","5.797,5","5.743,0","5.800,0","5.682,0","239,02K","0,97%"
"29.07.2024","5.742,0","5.929,0","5.929,0","5.719,5","181,39K","-3,16%"
