"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"24.02.2025","314,60","314,92","316,10","313,01","22,30M","-0,04%"
"21.02.2025","314,74","315,48","316,69","312,00","32,73M","-0,10%"
"20.02.2025","315,05","315,91","317,96","314,02","33,16M","-0,27%"
"19.02.2025","315,91","313,53","317,25","311,01","50,48M","0,95%"
"18.02.2025","312,95","319,99","320,92","310,21","85,00M","-2,05%"
"17.02.2025","319,50","314,00","319,55","312,31","84,83M","3,11%"
"14.02.2025","309,87","315,59","317,84","303,06","126,69M","-0,07%"
"13.02.2025","310,10","315,61","318,72","307,20","116,93M","-1,24%"
"12.02.2025","314,00","294,30","314,40","291,30","185,82M","6,78%"
"11.02.2025","294,06","290,35","294,10","289,30","56,01M","1,42%"
"10.02.2025","289,94","287,61","294,55","287,61","73,05M","1,45%"
"07.02.2025","285,81","287,66","288,90","285,08","27,63M","-0,47%"
"06.02.2025","287,15","283,89","288,92","282,09","69,36M","1,51%"
"05.02.2025","282,88","277,30","283,89","275,34","43,07M","1,98%"
"04.02.2025","277,40","279,55","281,41","275,70","23,99M","-0,77%"
"03.02.2025","279,55","280,21","280,35","278,00","30,37M","-0,42%"
"31.01.2025","280,73","281,97","284,11","280,27","40,33M","-0,44%"
"30.01.2025","281,97","280,44","282,50","280,36","28,02M","0,57%"
"29.01.2025","280,36","278,00","282,18","277,12","39,16M","0,72%"
"28.01.2025","278,35","275,25","279,26","274,01","39,03M","1,13%"
"27.01.2025","275,23","280,72","280,97","275,01","39,04M","-1,96%"
"24.01.2025","280,74","281,00","282,75","279,25","32,16M","0,09%"
"23.01.2025","280,49","280,79","280,79","277,35","38,57M","0,05%"
"22.01.2025","280,36","282,00","284,00","280,20","47,11M","-0,53%"
"21.01.2025","281,85","279,39","281,85","276,32","40,48M","1,32%"
"20.01.2025","278,19","285,10","286,23","277,61","67,95M","-1,88%"
"17.01.2025","283,53","282,20","284,64","280,19","51,88M","0,61%"
"16.01.2025","281,80","283,70","284,00","281,18","49,45M","-0,34%"
