"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"24.02.2025","4,14","4,09","4,19","3,99","333,10K","2,99%"
"21.02.2025","4,01","4,07","4,13","3,98","289,90K","1,77%"
"20.02.2025","3,94","3,93","4,03","3,88","200,60K","0,25%"
"19.02.2025","3,93","3,90","3,99","3,90","70,90K","0,25%"
"18.02.2025","3,92","3,96","4,05","3,85","305,40K","-2,36%"
"17.02.2025","4,02","3,92","4,06","3,92","581,30K","3,47%"
"14.02.2025","3,88","3,95","4,03","3,77","1,03M","-1,77%"
"13.02.2025","3,95","3,93","4,24","3,88","1,81M","4,35%"
"12.02.2025","3,79","3,90","3,96","3,74","620,40K","-2,82%"
"11.02.2025","3,90","3,84","3,94","3,84","149,10K","1,30%"
"10.02.2025","3,85","3,84","3,90","3,83","110,80K","1,72%"
"07.02.2025","3,79","3,87","3,92","3,79","217,80K","-1,56%"
"06.02.2025","3,85","3,77","3,88","3,70","262,80K","2,95%"
"05.02.2025","3,73","3,81","3,81","3,64","448,00K","-0,80%"
"04.02.2025","3,77","4,01","4,01","3,75","616,30K","-5,40%"
"03.02.2025","3,98","3,97","4,14","3,93","396,10K","0,00%"
"31.01.2025","3,98","4,00","4,05","3,96","157,20K","0,50%"
"30.01.2025","3,96","3,91","4,04","3,90","159,70K","0,00%"
"29.01.2025","3,96","3,93","4,04","3,89","304,90K","0,76%"
"28.01.2025","3,93","3,97","4,01","3,84","150,90K","0,13%"
"27.01.2025","3,92","4,07","4,08","3,85","372,30K","-2,97%"
"24.01.2025","4,05","4,09","4,11","3,97","378,80K","-1,22%"
"23.01.2025","4,09","3,84","4,28","3,75","3,41M","7,20%"
"22.01.2025","3,82","3,76","3,93","3,73","472,40K","1,87%"
"21.01.2025","3,75","3,65","3,95","3,56","1,95M","6,53%"
"20.01.2025","3,52","3,66","3,81","3,48","1,07M","-3,56%"
"17.01.2025","3,65","3,67","3,69","3,60","264,50K","1,53%"
"16.01.2025","3,60","3,51","3,67","3,48","336,60K","3,16%"
"15.01.2025","3,48","3,52","3,52","3,45","50,50K","-0,29%"
"14.01.2025","3,49","3,51","3,52","3,45","229,50K","-0,29%"
"13.01.2025","3,51","3,57","3,69","3,43","371,40K","0,72%"
"10.01.2025","3,48","3,40","3,55","3,34","275,20K","2,35%"
"09.01.2025","3,40","3,69","3,69","3,27","430,90K","-4,36%"
"08.01.2025","3,56","3,36","3,68","3,36","696,40K","5,96%"
"06.01.2025","3,36","3,37","3,44","3,26","283,70K","1,05%"
"03.01.2025","3,32","3,40","3,42","3,25","132,80K","0,76%"
"30.12.2024","3,30","3,26","3,35","3,23","534,60K","2,97%"
"28.12.2024","3,20","3,21","3,27","3,19","1,38M","-0,31%"
"27.12.2024","3,21","3,25","3,35","3,20","368,60K","-1,53%"
"26.12.2024","3,26","3,23","3,35","3,20","381,70K","2,19%"
"25.12.2024","3,19","3,26","3,26","3,18","370,80K","-1,39%"
"24.12.2024","3,23","3,33","3,42","3,23","315,90K","-1,97%"
"23.12.2024","3,30","3,29","3,54","3,26","634,30K","0,46%"
"20.12.2024","3,29","3,26","3,44","3,18","360,40K","1,08%"
"19.12.2024","3,25","3,26","3,36","3,15","234,10K","-3,13%"
"18.12.2024","3,36","2,99","3,61","2,94","773,10K","13,15%"
"17.12.2024","2,96","2,97","3,01","2,92","90,10K","-0,84%"
"16.12.2024","2,99","3,06","3,06","2,96","69,20K","-2,13%"
"13.12.2024","3,06","3,06","3,07","3,01","109,10K","0,83%"
"12.12.2024","3,03","3,12","3,19","3,03","195,80K","-3,04%"
"11.12.2024","3,13","3,15","3,18","3,10","51,70K","0,16%"
"10.12.2024","3,12","3,13","3,18","3,12","83,00K","-1,42%"
"09.12.2024","3,16","3,14","3,20","3,10","137,20K","1,44%"
"06.12.2024","3,12","3,15","3,15","3,09","29,90K","-0,32%"
"05.12.2024","3,13","3,10","3,23","3,08","181,10K","0,97%"
"04.12.2024","3,10","3,07","3,19","3,07","103,80K","1,14%"
"03.12.2024","3,07","3,12","3,21","3,06","158,10K","-3,31%"
"02.12.2024","3,17","3,23","3,27","3,11","422,70K","-1,86%"
"29.11.2024","3,23","3,15","3,28","3,11","63,50K","0,94%"
"28.11.2024","3,20","3,27","3,30","3,10","204,10K","1,43%"
"27.11.2024","3,15","3,13","3,23","3,03","242,40K","4,47%"
"26.11.2024","3,02","3,30","3,35","3,00","881,70K","-8,76%"
"25.11.2024","3,31","3,37","3,45","3,30","126,80K","-1,63%"
"22.11.2024","3,37","3,46","3,46","3,22","211,40K","-2,75%"
"21.11.2024","3,46","3,46","3,58","3,46","152,90K","-0,29%"
"20.11.2024","3,47","3,54","3,58","3,45","58,60K","-0,86%"
"19.11.2024","3,50","3,72","3,76","3,45","158,80K","-6,54%"
"18.11.2024","3,74","3,74","3,82","3,61","161,70K","0,00%"
"15.11.2024","3,74","3,75","3,80","3,73","169,40K","0,27%"
"14.11.2024","3,73","3,74","3,78","3,67","126,40K","0,27%"
"13.11.2024","3,72","3,74","3,74","3,63","65,70K","0,95%"
"12.11.2024","3,68","3,74","3,80","3,68","50,40K","-1,47%"
"11.11.2024","3,74","3,67","3,88","3,60","240,10K","1,91%"
"08.11.2024","3,67","3,54","3,69","3,51","456,50K","3,82%"
"07.11.2024","3,54","3,54","3,55","3,39","287,40K","0,00%"
"06.11.2024","3,54","3,51","3,63","3,44","191,60K","0,71%"
"05.11.2024","3,51","3,41","3,52","3,41","81,20K","2,78%"
