"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"24.02.2025","28,920","28,995","29,070","28,640","25,95M","0,03%"
"21.02.2025","28,910","29,130","29,265","28,575","37,62M","-0,76%"
"20.02.2025","29,130","29,190","29,420","28,765","57,18M","-0,03%"
"19.02.2025","29,140","28,550","29,300","28,205","45,53M","2,17%"
"18.02.2025","28,520","29,500","29,580","28,300","65,90M","-3,13%"
"17.02.2025","29,440","28,380","29,440","28,300","70,02M","4,62%"
"14.02.2025","28,140","28,695","29,190","27,070","86,55M","-1,25%"
"13.02.2025","28,495","29,180","30,370","28,160","151,92M","-1,06%"
"12.02.2025","28,800","28,015","29,285","27,820","114,56M","2,80%"
"11.02.2025","28,015","28,005","28,340","27,815","38,44M","0,05%"
"10.02.2025","28,000","28,100","28,460","27,930","44,29M","0,18%"
"07.02.2025","27,950","28,445","28,630","27,840","38,42M","-1,48%"
"06.02.2025","28,370","28,100","28,760","27,900","76,41M","1,41%"
"05.02.2025","27,975","27,700","28,110","26,925","50,08M","0,99%"
"04.02.2025","27,700","27,950","28,300","27,515","31,26M","-0,91%"
"03.02.2025","27,955","27,570","28,125","27,355","37,15M","0,83%"
"31.01.2025","27,725","27,920","28,450","27,325","54,58M","-0,61%"
"30.01.2025","27,895","27,690","28,095","27,360","36,46M","0,63%"
"29.01.2025","27,720","28,100","28,200","27,585","36,84M","-1,33%"
"28.01.2025","28,095","27,280","28,290","27,110","92,87M","2,99%"
"27.01.2025","27,280","28,500","28,630","27,220","101,23M","-4,30%"
"24.01.2025","28,505","28,470","29,140","27,860","129,30M","0,37%"
"23.01.2025","28,400","28,045","28,650","27,555","148,63M","0,96%"
"22.01.2025","28,130","27,115","28,740","27,060","330,28M","3,90%"
"21.01.2025","27,075","26,010","27,125","25,700","115,87M","4,15%"
"20.01.2025","25,995","25,320","26,940","25,050","176,21M","3,22%"
"17.01.2025","25,185","25,000","25,380","24,750","69,56M","0,56%"
"16.01.2025","25,045","23,980","25,400","23,745","134,52M","4,59%"
"15.01.2025","23,945","23,600","23,980","23,220","42,57M","1,89%"
"14.01.2025","23,500","23,410","23,620","23,265","33,27M","0,11%"
"13.01.2025","23,475","23,540","23,680","23,180","66,30M","0,32%"
"10.01.2025","23,400","24,010","24,105","22,610","159,61M","-1,95%"
"09.01.2025","23,865","24,900","25,025","23,760","48,47M","-3,89%"
"08.01.2025","24,830","24,555","24,920","24,455","19,16M","1,08%"
"06.01.2025","24,565","24,505","24,670","24,300","18,89M","0,08%"
"03.01.2025","24,545","25,070","25,145","24,455","31,99M","-1,74%"
"30.12.2024","24,980","24,225","25,060","24,225","58,79M","3,59%"
"28.12.2024","24,115","23,980","24,200","23,750","36,45M","1,03%"
"27.12.2024","23,870","24,100","24,250","23,600","46,79M","-0,54%"
"26.12.2024","24,000","23,650","24,420","23,555","62,01M","1,46%"
"25.12.2024","23,655","23,630","23,785","23,280","53,01M","0,06%"
"24.12.2024","23,640","24,120","24,120","23,530","38,53M","-2,01%"
"23.12.2024","24,125","24,150","24,425","23,820","79,32M","0,35%"
"20.12.2024","24,040","22,490","24,150","22,290","91,99M","6,87%"
"19.12.2024","22,495","22,380","23,000","22,125","76,93M","0,42%"
"18.12.2024","22,400","21,950","22,400","21,725","40,87M","2,05%"
"17.12.2024","21,950","22,300","22,420","21,520","43,03M","-1,06%"
"16.12.2024","22,185","22,550","22,700","22,035","37,76M","-2,12%"
"13.12.2024","22,665","22,680","22,800","22,545","16,55M","0,00%"
"12.12.2024","22,665","23,090","23,245","22,620","27,49M","-1,82%"
"11.12.2024","23,085","22,960","23,190","22,750","35,72M","0,20%"
"10.12.2024","23,040","23,755","23,780","22,850","27,99M","-2,95%"
"09.12.2024","23,740","23,310","23,795","23,310","25,11M","2,02%"
"06.12.2024","23,270","23,370","23,540","22,910","31,22M","-0,02%"
"05.12.2024","23,275","22,985","23,410","22,500","41,85M","2,04%"
