"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"24.02.2025","745,20","749,90","757,30","742,30","1,98M","-1,22%"
"21.02.2025","754,40","745,70","759,40","742,00","2,79M","1,22%"
"20.02.2025","745,30","744,50","750,30","736,80","1,61M","0,11%"
"19.02.2025","744,50","737,60","749,90","728,10","1,53M","0,95%"
"18.02.2025","737,50","749,10","750,00","731,90","2,66M","-1,52%"
"17.02.2025","748,90","720,50","749,10","717,90","2,29M","4,46%"
"14.02.2025","716,90","698,70","738,70","675,00","4,69M","0,74%"
"13.02.2025","711,60","735,60","752,80","708,00","5,05M","-3,45%"
"12.02.2025","737,00","702,60","739,00","693,70","4,49M","4,87%"
"11.02.2025","702,80","700,30","707,00","700,00","1,58M","0,36%"
"10.02.2025","700,30","698,00","707,00","696,80","1,85M","0,47%"
"07.02.2025","697,00","697,00","704,60","688,60","2,46M","0,17%"
"06.02.2025","695,80","691,40","699,30","682,70","2,64M","0,75%"
"05.02.2025","690,60","685,50","692,00","674,50","2,44M","0,57%"
"04.02.2025","686,70","685,00","693,00","683,20","2,04M","0,18%"
"03.02.2025","685,50","683,90","689,90","677,40","1,88M","0,23%"
"31.01.2025","683,90","689,90","694,30","680,00","1,93M","-0,98%"
"30.01.2025","690,70","678,40","691,00","677,70","1,67M","1,72%"
"29.01.2025","679,00","677,80","683,70","673,40","1,29M","0,18%"
"28.01.2025","677,80","667,50","680,50","655,90","1,90M","1,54%"
"27.01.2025","667,50","682,70","682,90","661,10","2,05M","-2,21%"
"24.01.2025","682,60","686,40","687,40","677,00","1,40M","-0,55%"
"23.01.2025","686,40","681,00","688,80","679,00","1,88M","0,72%"
"22.01.2025","681,50","681,00","691,10","674,50","2,93M","0,07%"
"21.01.2025","681,00","677,40","682,00","674,40","1,65M","0,74%"
"20.01.2025","676,00","676,10","684,80","671,30","4,01M","0,36%"
"17.01.2025","673,60","678,70","682,70","669,30","2,41M","-0,52%"
"16.01.2025","677,10","670,80","683,40","670,80","2,50M","0,97%"
"15.01.2025","670,60","668,00","671,60","649,50","2,32M","0,40%"
"14.01.2025","667,90","666,00","670,80","660,00","1,97M","0,00%"
"13.01.2025","667,90","657,00","674,00","655,20","4,31M","2,20%"
"10.01.2025","653,50","633,90","664,80","633,60","5,14M","3,09%"
"09.01.2025","633,90","653,50","659,30","631,40","1,87M","-3,18%"
"08.01.2025","654,70","648,90","660,80","647,40","1,36M","-1,73%"
"06.01.2025","666,20","668,70","670,30","655,70","1,66M","-0,37%"
"03.01.2025","668,70","693,20","693,20","663,00","1,74M","-2,93%"
"30.12.2024","688,90","653,50","695,70","653,50","3,84M","5,59%"
"28.12.2024","652,40","637,00","654,80","636,90","2,07M","2,61%"
"27.12.2024","635,80","631,90","637,40","628,60","1,88M","0,78%"
"26.12.2024","630,90","630,00","635,00","626,80","2,34M","0,27%"
"25.12.2024","629,20","625,00","634,60","617,00","2,71M","0,62%"
"24.12.2024","625,30","637,00","638,50","621,00","4,04M","-1,68%"
"23.12.2024","636,00","605,00","638,70","605,00","4,38M","6,02%"
"20.12.2024","599,90","563,90","603,80","562,70","7,61M","6,38%"
"19.12.2024","563,90","570,50","583,00","557,50","9,35M","-0,95%"
"18.12.2024","569,30","556,20","573,10","555,80","2,59M","2,36%"
"17.12.2024","556,20","548,90","564,00","548,40","3,04M","1,13%"
"16.12.2024","550,00","569,20","573,40","545,80","3,92M","-3,78%"
"13.12.2024","571,60","557,80","573,70","553,30","2,59M","2,47%"
"12.12.2024","557,80","574,00","581,60","556,50","3,48M","-2,84%"
"11.12.2024","574,10","564,50","574,90","561,70","3,17M","1,63%"
"10.12.2024","564,90","565,00","568,80","556,00","4,75M","-0,23%"
"09.12.2024","566,20","560,40","575,50","560,40","3,63M","1,31%"
"06.12.2024","558,90","548,60","565,00","545,00","3,78M","2,08%"
"05.12.2024","547,50","522,00","554,80","520,20","4,76M","4,97%"
"04.12.2024","521,60","538,50","549,70","520,00","2,69M","-3,14%"
"03.12.2024","538,50","549,60","552,00","534,70","2,20M","-1,82%"
"02.12.2024","548,50","545,00","557,00","545,00","2,57M","0,66%"
"29.11.2024","544,90","534,40","549,00","531,10","3,33M","1,98%"
"28.11.2024","534,30","522,10","540,80","508,50","4,02M","2,95%"
"27.11.2024","519,00","506,10","519,40","499,00","4,85M","2,57%"
"26.11.2024","506,00","515,30","519,00","498,10","3,80M","-1,80%"
"25.11.2024","515,30","542,00","543,20","512,20","4,56M","-4,91%"
"22.11.2024","541,90","544,00","546,10","534,00","1,79M","-0,29%"
"21.11.2024","543,50","537,30","544,70","525,20","2,53M","1,23%"
"20.11.2024","536,90","545,70","557,00","531,60","2,98M","-1,52%"
"19.11.2024","545,20","562,50","565,00","540,00","3,27M","-3,06%"
"18.11.2024","562,40","571,10","571,10","556,00","2,78M","-2,38%"
"15.11.2024","576,10","568,30","578,00","566,40","1,82M","1,09%"
"14.11.2024","569,90","580,20","588,90","561,40","6,12M","-2,28%"
"13.11.2024","583,20","592,50","599,40","581,40","3,09M","-1,57%"
"12.11.2024","592,50","590,70","599,50","584,90","3,45M","0,08%"
"11.11.2024","592,00","599,00","604,50","588,80","5,37M","-0,59%"
"08.11.2024","595,50","580,40","596,00","572,60","3,78M","3,03%"
"07.11.2024","578,00","568,70","580,00","557,30","4,08M","1,83%"
"06.11.2024","567,60","557,10","576,00","554,10","3,59M","3,50%"
"05.11.2024","548,40","552,20","558,00","548,00","3,07M","-0,38%"
"02.11.2024","550,50","536,10","550,70","536,00","1,67M","2,71%"
"01.11.2024","536,00","536,00","545,00","532,20","3,22M","0,00%"
"31.10.2024","536,00","533,00","546,70","530,00","3,13M","-0,43%"
"30.10.2024","538,30","549,20","552,70","538,10","3,06M","-1,63%"
"29.10.2024","547,20","542,40","555,00","542,10","3,51M","0,88%"
"28.10.2024","542,40","569,50","573,50","540,50","4,19M","-5,24%"
"25.10.2024","572,40","586,00","589,50","572,20","3,77M","-2,42%"
"24.10.2024","586,60","586,70","588,70","575,20","1,99M","-0,07%"
"23.10.2024","587,00","591,70","594,00","585,00","1,50M","-1,00%"
"22.10.2024","592,90","594,70","600,50","591,70","1,69M","-0,39%"
"21.10.2024","595,20","595,80","597,60","591,30","1,35M","-0,10%"
"18.10.2024","595,80","592,90","596,70","589,30","2,19M","0,47%"
"17.10.2024","593,00","603,00","603,80","591,80","2,21M","-1,67%"
"16.10.2024","603,10","609,40","611,90","594,20","3,48M","-0,90%"
