"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"24.02.2025","1.232","1.230","1.247","1.215","1,26M","0,49%"
"21.02.2025","1.226","1.235","1.246","1.210","1,21M","-0,78%"
"20.02.2025","1.235","1.246","1.257","1.231","1,14M","-0,87%"
"19.02.2025","1.246","1.235","1.252","1.230","831,85K","1,01%"
"18.02.2025","1.234","1.260","1.266","1.223","1,68M","-1,75%"
"17.02.2025","1.256","1.234","1.260","1.225","1,90M","3,85%"
"14.02.2025","1.209","1.220","1.268","1.187","2,66M","-1,99%"
"13.02.2025","1.234","1.270","1.312","1.221","2,62M","-1,55%"
"12.02.2025","1.253","1.185","1.265","1.183","3,57M","5,86%"
"11.02.2025","1.184","1.131","1.188","1.131","1,89M","4,71%"
"10.02.2025","1.130","1.127","1.156","1.127","1,26M","0,86%"
"07.02.2025","1.121","1.131","1.139","1.117","558,33K","-0,88%"
"06.02.2025","1.131","1.144","1.151","1.122","783,35K","-0,81%"
"05.02.2025","1.140","1.119","1.144","1.106","1,27M","1,86%"
"04.02.2025","1.119","1.152","1.165","1.111","1,80M","-2,81%"
"03.02.2025","1.152","1.155","1.159","1.141","777,60K","-0,38%"
"31.01.2025","1.156","1.166","1.196","1.146","1,74M","-0,60%"
"30.01.2025","1.163","1.158","1.177","1.144","1,46M","0,52%"
"29.01.2025","1.157","1.171","1.178","1.153","546,52K","-1,20%"
"28.01.2025","1.171","1.152","1.185","1.135","847,19K","1,65%"
"27.01.2025","1.152","1.166","1.175","1.143","540,52K","-1,20%"
"24.01.2025","1.166","1.178","1.188","1.161","624,55K","-1,14%"
"23.01.2025","1.180","1.169","1.183","1.153","611,93K","1,07%"
"22.01.2025","1.167","1.170","1.195","1.156","1,10M","-0,13%"
"21.01.2025","1.169","1.163","1.170","1.127","790,25K","0,21%"
"20.01.2025","1.166","1.200","1.209","1.152","1,33M","-2,59%"
"17.01.2025","1.197","1.184","1.210","1.178","1,08M","1,14%"
"16.01.2025","1.184","1.170","1.195","1.165","1,15M","1,46%"
"15.01.2025","1.167","1.158","1.170","1.140","935,94K","0,95%"
"14.01.2025","1.156","1.169","1.172","1.145","1,22M","-1,28%"
"13.01.2025","1.171","1.184","1.193","1.170","1,33M","-0,13%"
"10.01.2025","1.172","1.140","1.184","1.139","2,14M","3,17%"
"09.01.2025","1.136","1.206","1.209","1.128","1,67M","-5,57%"
"08.01.2025","1.203","1.195","1.211","1.194","453,63K","0,75%"
"06.01.2025","1.194","1.188","1.196","1.178","487,95K","-0,21%"
"03.01.2025","1.197","1.221","1.228","1.177","1,62M","-2,76%"
"30.12.2024","1.231","1.243","1.275","1.195","3,55M","-0,12%"
"28.12.2024","1.232","1.151","1.238","1.150","4,12M","7,04%"
"27.12.2024","1.151","1.129","1.160","1.122","1,78M","2,17%"
"26.12.2024","1.127","1.126","1.165","1.113","2,92M","0,13%"
"25.12.2024","1.125","1.052","1.126","1.048","3,55M","6,74%"
"24.12.2024","1.054","1.045","1.074","1.014","2,09M","1,15%"
"23.12.2024","1.042","1.020","1.058","1.010","2,28M","4,67%"
"20.12.2024","996","923","1.013","915","2,52M","7,97%"
"19.12.2024","922","925","928","914","1,09M","-0,11%"
"18.12.2024","923","906","926","896","1,41M","2,44%"
"17.12.2024","901","896","907","889","1,04M","0,61%"
"16.12.2024","896","922","923","894","1,25M","-3,29%"
"13.12.2024","926","927","937","922","659,00K","-0,11%"
"12.12.2024","927","954","963","924","1,19M","-2,78%"
"11.12.2024","954","946","954","933","1,06M","0,10%"
"10.12.2024","953","980","980","951","1,04M","-2,76%"
"09.12.2024","980","974","994","960","1,42M","1,61%"
"06.12.2024","964","958","984","936","3,30M","2,28%"
"05.12.2024","943","920","950","892","4,30M","2,50%"
"04.12.2024","920","964","973","915","2,30M","-4,81%"
"03.12.2024","966","1.003","1.006","963","1,98M","-3,64%"
"02.12.2024","1.003","1.018","1.029","999","1,48M","-1,33%"
"29.11.2024","1.016","1.040","1.059","998","2,91M","-2,31%"
"28.11.2024","1.040","1.041","1.051","1.011","1,26M","-0,24%"
"27.11.2024","1.043","1.032","1.045","989","2,61M","1,12%"
"26.11.2024","1.031","1.053","1.088","1.015","4,14M","-2,18%"
"25.11.2024","1.054","1.072","1.079","1.043","1,73M","-1,68%"
"22.11.2024","1.072","1.095","1.096","1.060","2,79M","-1,83%"
"21.11.2024","1.092","1.146","1.149","1.024","10,67M","-4,55%"
"20.11.2024","1.144","1.174","1.195","1.125","3,97M","-1,93%"
"19.11.2024","1.167","1.220","1.225","1.157","5,64M","-4,58%"
"18.11.2024","1.223","1.276","1.279","1.216","6,75M","-9,01%"
"15.11.2024","1.344","1.330","1.345","1.325","243,08K","1,05%"
"14.11.2024","1.330","1.333","1.343","1.315","340,10K","-0,78%"
"13.11.2024","1.340","1.360","1.369","1.337","417,73K","-1,33%"
"12.11.2024","1.358","1.364","1.374","1.353","431,96K","-0,44%"
"11.11.2024","1.364","1.360","1.370","1.356","569,86K","1,19%"
"08.11.2024","1.348","1.341","1.352","1.321","603,72K","0,94%"
"07.11.2024","1.336","1.313","1.340","1.293","495,27K","1,75%"
"06.11.2024","1.313","1.300","1.316","1.291","854,53K","2,98%"
"05.11.2024","1.275","1.285","1.294","1.269","382,96K","-0,12%"
"02.11.2024","1.276","1.265","1.277","1.261","189,88K","0,91%"
"01.11.2024","1.265","1.243","1.273","1.238","422,82K","1,77%"
"31.10.2024","1.243","1.242","1.255","1.230","729,25K","-0,76%"
"30.10.2024","1.252","1.278","1.282","1.250","305,76K","-1,65%"
"29.10.2024","1.273","1.251","1.278","1.234","503,43K","1,80%"
